"Num_Acc";"id_lieux";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"inte";"atm";"col";"adr";"lat";"longi"
"47";"1";"8";"5";"2023";"01/01/1900 07:45";"2";"34";"34333";"1";"6";"1";"3";"D612";"43,500985";"3,786504"
"49";"2";"8";"5";"2023";"01/01/1900 02:20";"3";"34";"34172";"1";"1";"1";"4";"A709";"43,601853";"3,922441"
"56";"3";"7";"5";"2023";"01/01/1900 16:10";"1";"34";"34059";"1";"1";"1";"3";"6 Rue Departementale 907";"43,350909";"2,787727"
"57";"4";"24";"4";"2023";"01/01/1900 20:00";"1";"34";"34145";"2";"1";"1";"6";"430 Av Mal de Lattre de Tassigny";"43,676105";"4,126407"
"58";"5";"18";"4";"2023";"01/01/1900 17:00";"1";"34";"34344";"2";"1";"1";"6";"55 Avenue de Melgueil";"43,562427";"4,087054"
"595";"6";"21";"9";"2023";"01/01/1900 18:50";"1";"34";"34301";"2";"1";"1";"3";"CLERVILLE CHEVALIER DE (BOULEVARD)";"43,409963";"3,675553"
"597";"7";"24";"9";"2023";"01/01/1900 03:45";"5";"34";"34032";"2";"1";"1";"2";"ALBERT 1ER (AVENUE)";"43,34823";"3,21724"
"679";"8";"26";"10";"2023";"01/01/1900 22:00";"5";"34";"34276";"2";"3";"1";"2";"avenue louis cancel";"43,771532";"3,868759"
"779";"9";"7";"5";"2023";"01/01/1900 01:40";"5";"34";"34337";"1";"6";"1";"7";"M986 PR 53+861";"43,540165";"3,897121"
"786";"10";"6";"5";"2023";"01/01/1900 13:00";"1";"34";"34146";"1";"1";"1";"3";"A9 - PK 78+3946";"43,694283";"4,082215"
"889";"11";"2";"5";"2023";"01/01/1900 18:10";"1";"34";"34172";"2";"9";"1";"1";"777 Rue de Bionne";"43,60771";"3,82135"
"910";"12";"28";"11";"2023";"01/01/1900 08:55";"1";"34";"34259";"1";"1";"1";"1";"route de pignan";"43,603469";"3,783465"
"915";"13";"29";"11";"2023";"01/01/1900 07:56";"2";"34";"34202";"1";"1";"1";"4";"M5";"43,575267";"3,74747"
"1078";"14";"7";"6";"2023";"01/01/1900 03:50";"3";"34";"34301";"1";"1";"1";"1";"Route d'Agde";"43,37332";"3,62471"
"1197";"15";"28";"11";"2023";"01/01/1900 14:15";"1";"34";"34172";"2";"1";"1";"3";"DOMITIENNE (VOIE)";"43,6232";"3,86133"
"1366";"16";"16";"3";"2023";"01/01/1900 18:30";"1";"34";"34301";"2";"5";"1";"3";"PASTEUR LOUIS (QUAI)";"43,40696";"3,69872"
"1670";"17";"7";"9";"2023";"01/01/1900 08:12";"1";"34";"34192";"2";"4";"1";"3";"Rue Sire de Joinville";"43,530314";"3,936791"
"1698";"18";"26";"10";"2023";"01/01/1900 21:25";"3";"34";"34307";"1";"1";"2";"6";"Route de Montpellier";"43,70996";"4,005838"
"1716";"19";"25";"9";"2023";"01/01/1900 17:20";"1";"34";"34022";"1";"1";"1";"2";"A709 PK 001+800";"43,672737";"4,017187"
"1980";"20";"26";"10";"2023";"01/01/1900 07:00";"3";"34";"34298";"1";"1";"8";"4";"N/A";"43,306553";"3,240423"
