"Num_Acc";"catr";"voie";"circ";"nbv";"prof";"plan";"surf";"infra";"situ";"vma";"id_lieux"
"47";"3";"612";"1";"1";"1";"3";"1";"0";"1";"80";"1"
"49";"1";"709";"3";"3";"1";"1";"1";"0";"1";"90";"2"
"56";"3";"907";"2";"2";"2";"3";"1";"0";"1";"80";"3"
"57";"9";"113";"1";"2";"1";"1";"1";"0";"1";"50";"4"
"58";"6";"N/A";"-1";"-1";"1";"1";"1";"0";"1";"30";"5"
"595";"3";"CLERVILLE CHEVALIER DE (BOULEVARD)";"2";"2";"2";"1";"1";"0";"1";"20";"6"
"597";"4";"ALBERT 1ER (AVENUE)";"1";"1";"1";"1";"1";"0";"1";"30";"7"
"679";"3";"17";"2";"2";"1";"1";"1";"0";"1";"30";"8"
"779";"7";"986";"4";"2";"1";"2";"1";"5";"8";"90";"9"
"786";"1";"9";"3";"3";"1";"1";"1";"0";"1";"130";"10"
"889";"4";"BIONNE (RUE DE)";"2";"2";"2";"3";"1";"0";"1";"50";"11"
"910";"3";"D5";"-1";"2";"1";"1";"1";"0";"1";"80";"12"
"915";"3";"5";"2";"2";"1";"1";"2";"0";"1";"90";"13"
"1078";"4";"AGDE (ROUTE DE)";"2";"2";"1";"1";"1";"0";"1";"70";"14"
"1197";"4";"DOMITIENNE (VOIE)";"2";"4";"1";"1";"1";"0";"6";"50";"15"
"1366";"4";"HUGO VICTOR (AVENUE)";"2";"2";"1";"1";"1";"0";"1";"50";"16"
"1670";"4";"16";"2";"2";"1";"3";"1";"0";"5";"30";"17"
"1698";"3";"54";"3";"2";"1";"1";"2";"0";"1";"80";"18"
"1716";"1";"709";"-1";"3";"1";"1";"1";"0";"1";"90";"19"
"1980";"1";"9";"3";"3";"1";"1";"1";"2";"1";"130";"20"
"2184";"4";"N/A";"2";"2";"1";"1";"1";"5";"5";"50";"21"
"2280";"7";"127";"2";"1";"1";"1";"1";"5";"1";"30";"22"
"2386";"4";"BUFFON (RUE)";"2";"2";"1";"1";"1";"0";"1";"30";"23"
"2389";"4";"BERNARD CLAUDE (RUE)";"2";"2";"1";"1";"1";"0";"1";"50";"24"
"2393";"4";"CABESTAN (IMPASSE DU)";"3";"1";"1";"1";"2";"0";"1";"50";"25"
"2456";"1";"9";"1";"3";"1";"1";"1";"0";"1";"110";"26"
"2474";"3";"36";"2";"2";"1";"1";"1";"0";"1";"70";"27"
"2476";"3";"176";"2";"2";"1";"1";"2";"0";"1";"80";"28"
"2939";"3";"909";"2";"2";"1";"1";"1";"0";"1";"90";"29"
"2948";"3";"13";"1";"1";"1";"3";"1";"3";"1";"50";"30"
"3241";"3";"MAUREILHAN (ROUTE DE)";"2";"2";"1";"1";"1";"0";"1";"90";"31"
"3391";"3";"1";"2";"2";"1";"1";"1";"0";"3";"90";"32"
"3685";"4";"MARES (AVENUE HENRI)";"2";"2";"1";"1";"1";"0";"1";"50";"33"
"3689";"4";"CLEMENCEAU GEORGES (AVENUE)";"2";"2";"1";"1";"1";"0";"1";"30";"34"
"4136";"3";"68";"2";"2";"1";"1";"1";"0";"1";"80";"35"
"4292";"4";"AUTIGNAC (RUE GUILLAUME D')";"1";"1";"1";"1";"1";"0";"1";"30";"36"
"4379";"4";"BLUM (RUE LEON)";"1";"2";"1";"1";"1";"0";"1";"50";"37"
"4400";"4";"N/A";"2";"2";"1";"1";"1";"0";"1";"50";"38"
"4402";"7";"613";"2";"1";"1";"1";"1";"0";"1";"50";"39"
"4448";"4";"PRES D'ARENES (AVENUE DES)";"1";"2";"1";"1";"1";"0";"1";"50";"40"
"4492";"4";"N/A";"2";"2";"1";"1";"1";"0";"1";"50";"41"
"4616";"7";"PALAVAS D986 (ROUTE DE)";"1";"2";"2";"3";"1";"0";"1";"50";"42"
"4837";"1";"75";"1";"2";"1";"1";"1";"0";"1";"130";"43"
"4938";"4";"VERDUN (BD DE)";"2";"3";"1";"2";"1";"5";"1";"50";"44"
"5127";"3";"D62";"1";"1";"2";"3";"1";"0";"1";"90";"45"
"5206";"3";"DE4";"2";"2";"3";"1";"1";"0";"3";"80";"46"
"5222";"4";"LIBERTE (BD DE LA)";"2";"2";"1";"1";"1";"0";"1";"50";"47"
"5415";"4";"CHASSEURS (RUE DES)";"1";"1";"1";"1";"1";"0";"1";"30";"48"
"5416";"7";"LIBERTE (AVENUE DE LA";"2";"4";"1";"1";"1";"0";"1";"50";"49"
"5426";"4";"BLAYAC (RUE DU PROFESSEUR)";"1";"2";"2";"4";"1";"5";"3";"50";"50"
"5428";"4";"COLOMB (PLACE CHRISTOPHE)";"1";"2";"1";"2";"1";"9";"5";"50";"51"
"5622";"4";"ABRIVADO (RUE DE L')";"1";"2";"1";"4";"1";"0";"8";"50";"52"
"5693";"1";"750";"3";"3";"2";"2";"2";"0";"1";"130";"53"
"5726";"3";"910";"2";"2";"1";"2";"2";"0";"3";"80";"54"
"5859";"3";"2200000";"4";"2";"2";"3";"1";"2";"8";"80";"55"
"5949";"3";"32";"2";"2";"1";"1";"1";"0";"3";"80";"56"
"6062";"4";"FAUBOURG DE LA SAUNERIE (RUE DU)";"2";"1";"1";"1";"1";"9";"6";"30";"57"
"6081";"7";"613";"2";"2";"1";"1";"1";"0";"1";"80";"58"
"6141";"1";"75";"3";"1";"1";"1";"1";"0";"1";"130";"59"
"6229";"4";"VILLENEUVE-ANGOULEME (AVENUE DE";"1";"1";"1";"1";"1";"0";"4";"30";"60"
"6471";"3";"37";"2";"2";"1";"1";"2";"0";"1";"70";"61"
"6668";"4";"MONTMORENCY (RUE)";"1";"1";"2";"1";"1";"0";"1";"50";"62"
"6672";"7";"MENDES FRANCE (AVENUE PRESIDENT PIERRE";"3";"4";"1";"1";"1";"0";"1";"70";"63"
"6677";"4";"CANAL (RUE DU)";"2";"1";"1";"1";"1";"0";"1";"50";"64"
"6688";"4";"POMPIDOU (H12 A 14";"3";"2";"1";"1";"1";"0";"1";"50";"65"
"6839";"3";"908";"2";"2";"1";"1";"1";"0";"1";"90";"66"
"7119";"3";"17";"2";"2";"1";"1";"1";"5";"1";"90";"67"
"7273";"3";"N/A";"2";"2";"3";"1";"1";"0";"1";"50";"68"
"7341";"4";"SOLEIL (G15 A J18";"1";"1";"1";"1";"1";"0";"1";"30";"69"
"7419";"3";"19";"3";"2";"1";"3";"2";"0";"1";"50";"70"
"7796";"4";"BRUSSES (RUE DES)";"-1";"1";"1";"1";"1";"0";"1";"50";"71"
"7856";"3";"160";"2";"2";"1";"1";"5";"0";"1";"70";"72"
"7858";"4";"59";"2";"2";"1";"1";"1";"0";"1";"50";"73"
"7874";"1";"709";"1";"1";"2";"2";"1";"9";"2";"50";"74"
"7967";"7";"114";"2";"2";"2";"2";"1";"0";"8";"80";"75"
"7979";"3";"32";"2";"2";"1";"3";"1";"0";"1";"80";"76"
"7980";"4";"N/A";"-1";"1";"2";"1";"1";"0";"1";"-1";"77"
"8022";"3";"32";"2";"2";"1";"1";"1";"0";"1";"90";"78"
"8072";"7";"116";"2";"2";"1";"1";"1";"0";"1";"80";"79"
"8367";"4";"ERIGNAC CLAUDE (AV)";"-1";"2";"1";"1";"1";"0";"1";"50";"80"
"8370";"4";"MISTRAL FREDERIC (BD)";"2";"2";"1";"1";"1";"0";"1";"50";"81"
"8373";"4";"MENDES FRANCE PIERRE (AV)";"2";"2";"2";"1";"1";"0";"1";"50";"82"
"8666";"3";"15";"2";"2";"1";"1";"1";"0";"1";"-1";"83"
