"Num_Acc";"id_usager";"id_vehicule";"num_veh";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"age"
"54614";"203 721 198";"155 583 688";"C01";"2";"1";"1";"1982";"0";"8";"-1";"-1";"0";"0";"41"
"54614";"203 721 203";"155 583 688";"C01";"1";"4";"1";"1987";"0";"8";"-1";"-1";"0";"0";"36"
"54614";"203 721 205";"155 583 688";"C01";"2";"1";"1";"2017";"0";"8";"-1";"-1";"0";"0";"6"
"54614";"203 721 213";"155 583 698";"A01";"1";"4";"1";"1996";"0";"8";"-1";"-1";"0";"0";"27"
"54614";"203 721 216";"155 583 701";"B01";"1";"4";"1";"1971";"0";"8";"-1";"-1";"0";"0";"52"
"54494";"203 721 487";"155 583 904";"B01";"1";"2";"1";"1965";"0";"2";"8";"-1";"-1";"-1";"58"
"54494";"203 721 492";"155 583 909";"A01";"1";"1";"2";"1994";"4";"1";"8";"-1";"-1";"-1";"29"
"54192";"203 722 227";"155 584 424";"A01";"1";"4";"2";"1997";"0";"1";"0";"-1";"0";"0";"26"
"54192";"203 722 233";"155 584 430";"C01";"1";"4";"2";"2001";"0";"1";"0";"-1";"0";"0";"22"
"54192";"203 722 239";"155 584 430";"C01";"2";"1";"1";"2009";"0";"1";"0";"-1";"0";"0";"14"
"54192";"203 722 243";"155 584 430";"C01";"2";"4";"2";"1971";"0";"1";"0";"-1";"0";"0";"52"
"54192";"203 722 251";"155 584 441";"B01";"2";"4";"1";"2011";"0";"1";"0";"-1";"0";"0";"12"
"54192";"203 722 253";"155 584 441";"B01";"2";"1";"1";"2002";"0";"1";"0";"-1";"0";"0";"21"
"54192";"203 722 257";"155 584 441";"B01";"2";"4";"1";"2011";"0";"1";"0";"-1";"0";"0";"12"
"54192";"203 722 262";"155 584 441";"B01";"2";"4";"1";"2011";"0";"1";"0";"-1";"0";"0";"12"
"54192";"203 722 268";"155 584 441";"B01";"2";"4";"1";"2011";"0";"1";"0";"-1";"0";"0";"12"
"54192";"203 722 272";"155 584 441";"B01";"1";"1";"1";"1985";"0";"1";"0";"-1";"0";"0";"38"
"54192";"203 722 275";"155 584 441";"B01";"2";"4";"1";"2011";"0";"1";"0";"-1";"0";"0";"12"
"54192";"203 722 279";"155 584 441";"B01";"2";"4";"1";"2011";"0";"1";"0";"-1";"0";"0";"12"
"54192";"203 722 281";"155 584 441";"B01";"2";"4";"1";"2011";"0";"1";"0";"-1";"0";"0";"12"
"54168";"203 722 304";"155 584 474";"A01";"1";"1";"1";"1999";"5";"1";"0";"-1";"0";"0";"24"
"54168";"203 722 309";"155 584 478";"B01";"1";"4";"1";"1971";"5";"2";"0";"-1";"0";"0";"52"
"54163";"203 722 314";"155 584 483";"A01";"1";"1";"1";"1993";"0";"1";"-1";"-1";"0";"0";"30"
"54163";"203 722 319";"155 584 487";"B01";"1";"3";"2";"1976";"0";"2";"6";"9";"0";"0";"47"
"54043";"203 722 583";"155 584 677";"A01";"1";"1";"1";"1987";"4";"1";"0";"-1";"-1";"-1";"36"
"54043";"203 722 587";"155 584 677";"A01";"3";"4";"1";"1973";"0";"0";"-1";"-1";"2";"9";"50"
"54041";"203 722 592";"155 584 682";"B01";"1";"4";"1";"2006";"2";"2";"0";"-1";"-1";"-1";"17"
"54041";"203 722 593";"155 584 682";"B01";"3";"4";"2";"2006";"0";"0";"-1";"-1";"2";"3";"17"
"54038";"203 722 601";"155 584 689";"B01";"1";"1";"1";"1969";"9";"1";"0";"-1";"-1";"-1";"54"
"54038";"203 722 607";"155 584 694";"A01";"1";"4";"1";"1970";"0";"2";"6";"-1";"-1";"-1";"53"
"53743";"203 723 285";"155 585 201";"B01";"1";"4";"1";"1961";"0";"1";"8";"-1";"0";"0";"62"
"53743";"203 723 293";"155 585 208";"Z01";"1";"1";"-1";;"-1";"-1";"-1";"-1";"0";"0";"2023"
"53526";"203 723 793";"155 585 587";"A01";"1";"1";"1";"1998";"0";"1";"0";"-1";"-1";"-1";"25"
"53526";"203 723 799";"155 585 592";"B01";"1";"3";"1";"2008";"0";"2";"6";"-1";"-1";"-1";"15"
"53522";"203 723 803";"155 585 597";"A01";"1";"4";"1";"2008";"5";"2";"6";"9";"0";"0";"15"
