Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor
54614;155 583 688;C01;1;7;13;2;3;1;1
54614;155 583 698;A01;2;7;13;0;3;0;1
54614;155 583 701;B01;2;7;0;2;0;0;1
54494;155 583 904;B01;2;31;0;2;0;0;1
54494;155 583 909;A01;3;21;0;2;7;19;1
54192;155 584 424;A01;0;7;0;2;1;1;1
54192;155 584 430;C01;0;7;0;2;1;1;1
54192;155 584 441;B01;0;7;0;2;5;15;1
54168;155 584 474;A01;1;7;0;2;7;0;1
54168;155 584 478;B01;1;2;0;2;8;0;1
54163;155 584 483;A01;1;7;0;0;4;9;1
54163;155 584 487;B01;1;33;0;2;1;1;1
54043;155 584 677;A01;3;35;0;1;3;23;3
54041;155 584 682;B01;2;32;0;1;5;14;1
54038;155 584 689;B01;3;7;0;2;3;1;1
54038;155 584 694;A01;3;32;0;2;3;15;1
53743;155 585 201;B01;1;7;0;2;1;1;1
53743;155 585 208;Z01;0;7;0;2;1;5;0
53526;155 585 587;A01;2;7;0;2;0;15;1
53526;155 585 592;B01;1;30;0;2;1;1;1
53522;155 585 597;A01;2;2;0;2;3;15;1
53522;155 585 600;B01;2;7;0;2;7;17;1
53443;155 585 748;A01;1;7;0;6;1;1;1
53443;155 585 755;B01;1;37;0;6;1;1;1
53381;155 585 853;A01;1;7;3;0;8;1;1
53381;155 585 857;B01;1;17;0;2;2;12;1
53362;155 585 886;A01;2;10;0;2;1;1;1
53359;155 585 896;D01;2;38;0;0;3;1;0
53362;155 585 897;B01;2;10;0;2;2;1;1
53359;155 585 901;C01;2;7;0;0;4;1;0
53359;155 585 904;B01;2;17;0;0;6;9;0
53359;155 585 909;A01;2;7;0;2;5;12;0
53151;155 586 268;A01;1;7;0;0;6;24;2
53151;155 586 272;B01;1;15;1;0;2;1;1
52900;155 586 719;A01;1;7;0;1;1;1;1
52839;155 586 826;B01;2;33;0;2;1;2;1
52839;155 586 829;A01;1;7;0;2;3;15;0
52834;155 586 832;A01;1;7;0;1;2;19;1
52833;155 586 836;A01;3;7;0;1;1;1;0
52767;155 586 945;A01;2;7;0;2;2;15;1
52767;155 586 946;B01;1;32;0;2;1;1;1
52720;155 587 028;A01;1;21;0;9;9;1;1
52654;155 587 151;A01;2;7;0;0;9;1;1
52514;155 587 394;A01;3;3;0;1;1;1;1
52508;155 587 404;A01;2;7;2;0;8;0;1
52500;155 587 414;B01;3;7;0;2;2;15;2
52500;155 587 423;A01;3;7;8;2;1;1;1
52424;155 587 539;A01;1;10;0;2;2;13;0
52424;155 587 543;B01;1;1;0;2;6;13;5
52418;155 587 548;B01;1;7;0;2;5;23;1
52418;155 587 554;A01;1;33;8;2;1;1;1
52299;155 587 761;A01;2;7;12;0;3;15;1
52251;155 587 855;A01;0;2;0;2;1;0;1
52251;155 587 859;B01;0;2;0;2;1;0;1
52058;155 588 190;A01;1;7;0;2;8;10;1
52058;155 588 194;B01;1;33;0;2;1;17;1
51972;155 588 347;A01;1;7;0;2;3;1;1
51972;155 588 358;B01;1;7;0;2;2;19;1
51959;155 588 374;B01;1;7;0;0;5;1;1
51959;155 588 378;A01;1;31;0;0;1;1;1
51949;155 588 390;B01;3;1;0;2;2;1;5
51949;155 588 392;A01;3;7;0;9;8;1;1
51774;155 588 699;A01;1;7;0;2;6;1;1
51774;155 588 705;B01;2;7;0;2;3;1;1
51587;155 589 049;A01;0;7;2;0;1;0;1
51499;155 589 200;B01;1;2;4;2;8;19;1
51499;155 589 204;A01;1;33;8;2;1;17;1
51491;155 589 211;A01;2;7;6;0;1;14;1
51367;155 589 425;B01;3;2;0;2;7;0;0
51367;155 589 429;A01;3;7;0;2;7;9;0
51324;155 589 499;A01;2;7;0;2;2;1;1
51324;155 589 505;B01;2;2;0;2;1;5;1
51162;155 589 785;B01;2;31;0;2;1;1;1
51162;155 589 788;A01;1;7;0;2;2;15;1
50915;155 590 228;A01;0;7;0;1;2;15;0
50860;155 590 321;A01;1;7;0;0;9;0;0
50694;155 590 625;A01;3;7;0;2;3;2;1
50694;155 590 629;B01;3;33;0;2;7;2;1
50688;155 590 635;B01;3;30;0;2;8;1;1
50688;155 590 638;A01;3;34;0;2;1;19;1
50601;155 590 781;A01;2;33;12;2;1;18;1
50601;155 590 788;B01;2;80;12;2;4;1;5
50593;155 590 794;A01;1;7;0;1;1;1;1
50588;155 590 801;A01;1;13;0;1;2;1;1
50579;155 590 818;B01;1;33;0;2;3;1;1
50579;155 590 821;A01;1;7;0;2;3;1;1
50435;155 591 071;A01;1;7;0;2;3;1;1
50435;155 591 075;B01;2;31;0;2;1;13;1
50239;155 591 429;A01;1;7;0;1;3;2;1
50232;155 591 437;A01;2;7;3;0;1;14;1
50181;155 591 542;A01;1;7;0;2;6;9;1
50181;155 591 543;B01;2;33;0;2;1;17;1
50176;155 591 552;A01;1;7;0;1;1;1;1
